xrays,masks
data/Femur/Group 5/24.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/24.png
data/Femur/Group 5/79.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/79.png
data/Femur/Group 5/22.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/22.png
data/Femur/Group 5/116.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/116.png
data/Femur/Group 5/57.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/57.png
data/Femur/Group 5/130.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/130.png
data/Femur/Group 5/30.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/30.png
data/Femur/Group 5/54.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/54.png
data/Femur/Group 5/138.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/138.png
data/Femur/Group 5/9.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/9.png
data/Femur/Group 5/33.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/33.png
data/Femur/Group 5/25.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/25.png
data/Femur/Group 5/70.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/70.png
data/Femur/Group 5/28.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/28.png
data/Femur/Group 5/135.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/135.png
data/Femur/Group 5/104.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/104.png
data/Femur/Group 5/5.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/5.png
data/Femur/Group 5/110.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/110.png
data/Femur/Group 5/69.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/69.png
data/Femur/Group 5/39.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/39.png
data/Femur/Group 5/49.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/49.png
data/Femur/Group 5/35.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/35.png
data/Femur/Group 5/16.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/16.png
data/Femur/Group 5/67.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/67.png
data/Femur/Group 5/34.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/34.png
data/Femur/Group 5/133.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/133.png
data/Femur/Group 5/7.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/7.png
data/Femur/Group 5/43.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/43.png
data/Femur/Group 5/73.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/73.png
data/Femur/Group 5/68.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/68.png
data/Femur/Group 5/102.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/102.png
data/Femur/Group 5/27.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/27.png
data/Femur/Group 5/19.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/19.png
data/Femur/Group 5/115.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/115.png
data/Femur/Group 5/120.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/120.png
data/Femur/Group 5/8.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/8.png
data/Femur/Group 5/13.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/13.png
data/Femur/Group 5/103.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/103.png
data/Femur/Group 5/3.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/3.png
data/Femur/Group 5/17.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/17.png
data/Femur/Group 5/38.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/38.png
data/Femur/Group 5/112.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/112.png
data/Femur/Group 5/6.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/6.png
data/Femur/Group 5/78.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/78.png
data/Femur/Group 5/124.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/124.png
data/Femur/Group 5/114.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/114.png
data/Femur/Group 5/55.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/55.png
data/Femur/Group 5/51.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/51.png
data/Femur/Group 5/81.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/81.png
data/Femur/Group 5/46.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/46.png
data/Femur/Group 5/100.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/100.png
data/Femur/Group 5/62.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/62.png
data/Femur/Group 5/136.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/136.png
data/Femur/Group 5/80.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/80.png
data/Femur/Group 5/113.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/113.png
data/Femur/Group 5/41.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/41.png
data/Femur/Group 5/59.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/59.png
data/Femur/Group 5/48.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/48.png
data/Femur/Group 5/107.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/107.png
data/Femur/Group 5/131.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/131.png
data/Femur/Group 5/58.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/58.png
data/Femur/Group 5/76.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/76.png
data/Femur/Group 5/32.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/32.png
data/Femur/Group 5/132.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/132.png
data/Femur/Group 5/60.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/60.png
data/Femur/Group 5/64.png,data/Annotation_Femur_120_139_Kwanruethai_Kathy/64.png
